orgcode,description,trust,country,emergency_adm,respiratory_adm,asthma_adm,admsperbed,respadmsperbed,asthmaadmsper1000adms,howmanypaediatr_icasthmapatients,doesyourhospita_ntscanbeadmitted,q1_2ahowmanybed_aediatrichduhave,q1_3doesyourhos_ntscanbeadmitted,q1_3ahowmanybedsdoesyourpicuhave,fy1fy2filledcat,fy1fy2filledwte,fy1fy2filledphr,fy1fy2filledpha,st1st2filledcat,st1st2filledwte,st1st2filledphr,st1st2filledpha,st3andabovefilledcat,st3andabovefilledwte,st3andabovefilledphr,st3andabovefilledpha,paediatricconsultantfilledcat,paediatricconsultantfilledwte,paediatricconsultantfilledphr,paediatricconsultantfilledpha,paediatricrespi_sultantfilledcat,paediatricrespi_sultantfilledwte,paediatricrespi_sultantfilledphr,paediatricrespi_sultantfilledpha,associatespecialistfilledcat,associatespecialistfilledwte,associatespecialistfilledphr,associatespecialistfilledpha,staffgradefilledcat,staffgradefilledwte,staffgradefilledphr,staffgradefilledpha,asthmanursespecialistfilledcat,asthmanursespecialistfilledwte,asthmanursespecialistfilledphr,asthmanursespecialistfilledpha,nurseconsultant_stnursefilledcat,nurseconsultant_stnursefilledwte,nurseconsultant_stnursefilledphr,nurseconsultant_stnursefilledpha,specialistrespi_erapistfilledcat,specialistrespi_erapistfilledwte,specialistrespi_erapistfilledphr,specialistrespi_erapistfilledpha,paediatricpsychologistfilledcat,paediatricpsychologistfilledwte,paediatricpsychologistfilledphr,paediatricpsychologistfilledpha,paediatricpharmacistfilledcat,paediatricpharmacistfilledwte,paediatricpharmacistfilledphr,paediatricpharmacistfilledpha,othernotlistedfilledcat,othernotlistedfilledwte,othernotlistedfilledphr,othernotlistedfilledpha,fy1fy2unfilledcat,fy1fy2unfilledwte,st1st2unfilledcat,st1st2unfilledwte,st3andaboveunfilledcat,st3andaboveunfilledwte,paediatricconsultantunfilledcat,paediatricconsultantunfilledwte,paediatricrespi_ltantunfilledcat,paediatricrespi_ltantunfilledwte,associatespecialistunfilledcat,associatespecialistunfilledwte,staffgradeunfilledcat,staffgradeunfilledwte,asthmanursespecialistunfilledcat,asthmanursespecialistunfilledwte,nurseconsultant_nurseunfilledcat,nurseconsultant_nurseunfilledwte,specialistrespi_rapisunfilledcat,specialistrespi_rapisunfilledwte,paediatricpsych_ogistunfilledcat,paediatricpsych_ogistunfilledwte,paediatricpharmacistunfilledcat,paediatricpharmacistunfilledwte,othernotlistedunfilledcat,othernotlistedunfilledwte,q3_1aroutinelyr_raboveonweekdays,q3_1broutinelyr_raboveonweekends,q3_2whichadmitt_respiratorynurse,q3_3accesstoano_mapatientsonsite,q3_3accesstoano_tientsonthephone,q3_3accesstoano_loutreachservice,q3_4isyourservi_ricasthmanetwork,q3_5designatedn_orasthmaservices,q3_5aisthisrolecurrentlyfilled,q3_5bistheasthm_paediatricasthma,q3_6doesyourhos_paediatricasthma,q3_6aifnotdoyou_ricasthmaservice,q3_7doesasthmal_lorsevereillness,q3_8smokingcess_ostparentscarers,q3_8apleaseletu_ionofthisservice,q3_9smokingcess_icasthmapatients,q3_9apleaseletu_ionofthisservice,q3_10doyouhavea_ntscanbereferred,q3_11canthepaed_icepostdischarge,q3_1doyouhaveac_tientsspirometry,q3_1doyouhaveac_xpiratoryflowpef,q3_1doyouhaveac_dnitricoxidefeno,q3_1doyouhaveac_ntsskinpricktest,q3_1doyouhaveac_thmapatientsnone,q4_1picuoutreac_vicedaysweekdays,q4_1picuoutreac_vicedaysweekends,q4_1picuoutreac_cedaysoutofhours,q4_1picuoutreac_ooutreachservice,q4_2seniordecis_dpaudaysweekdays,q4_2seniordecis_dpaudaysweekends,q4_2seniordecis_audaysoutofhours,q4_2seniordecis_roundpaudaysnone,q4_3seniordecis_ardsdaysweekdays,q4_3seniordecis_ardsdaysweekends,q4_3seniordecis_dsdaysoutofhours,q4_3seniordecis_ricwardsdaysnone,q4_4respiratory_entsdaysweekdays,q4_4respiratory_entsdaysweekends,q4_4respiratory_tsdaysoutofhours,q4_4respiratory_rynurseavailable,q5_1doesthepaed_trecordeprsystem,q5_2doesyourhos_tricoxygenpolicy,q5_3dothewardba_criptionofoxygen,q5_4doesyourhos_etectione_g_pews,q5_4a_ew_targeto2,q5_4a_ew_actualo2,q5_4adoesyourea_ygenadministered,q5_4adoesyourea_ednoneoftheabove,q5_4bearlywarni_echildyoungadult,q6_1doesyourtru_icasthmaservices,q6_1aifyesdoest_errepresentation,q6_2howoftenisa_rvicesundertaken,q7_1processfort_oftheircondition,q7_1processfort_entthesamerecord,q7_1processfort_eirparentscarers,q7_1processfort_rersareaddressed,q7_1processfort_dadultclinicians,q7_1processfort_intheadultsystem,q7_1processfort_totheadultsystem,q7_1processfort_tinuedevaluation,q7_1processfort_tionarrangements,q8_1howisreimbu_thasthmaachieved,q8_2hasyourcomm_iatricasthmacare
EPS,Epsom Hospital,Epsom and St Helier University Hospitals NHS Trust,England,235,30,1-7,15,2,17,16,No,,No,,1.1-3.0 WTE,2,7,50,1.1-3.0 WTE,2,7,50,>3.0 WTE,6,20,150,>3.0 WTE,14,47,350,1.1-3.0 WTE,2,7,50,0.1-1.0 WTE,1,3,25,>3.0 WTE,5,17,125,0.1-1.0 WTE,1,3,25,>3.0 WTE,5,17,125,0.1-1.0 WTE,1,2,15,No WTE,0,0,0,0.1-1.0 WTE,1,3,25,No WTE,0,0,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,0.1-1.0 WTE,1,>3.0 WTE,4,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Twice daily,Daily,All paediatric asthma patients,Unticked,Ticked,Ticked,Yes,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,Yes,Yes,Both hospital and community-based teams,Yes,Community based team,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes - combined adult and paediatric policy,Yes,Yes,Yes,Yes,Yes,No,Yes,No,-,1-2 times a year,No,No,No,No,No,No,No,No,Yes,Payment via block contract,No
ESU,East Surrey Hospital,Surrey and Sussex Healthcare NHS Trust,England,470,40,10,20,2,21,23,No,,No,,1.1-3.0 WTE,2,5,20,>3.0 WTE,6,15,60,>3.0 WTE,6,14,55,>3.0 WTE,13,32,128,No WTE,0,0,0,No WTE,0,0,0,>3.0 WTE,11,28,110,1.1-3.0 WTE,2,5,20,No WTE,0,0,0,0.1-1.0 WTE,1,3,10,No WTE,0,0,0,0.1-1.0 WTE,1,3,10,No WTE,0,0,0,No WTE,0,No WTE,0,0.1-1.0 WTE,1,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,0.1-1.0 WTE,1,No WTE,0,No WTE,0,Twice daily,Twice daily,All paediatric asthma patients,Unticked,Ticked,Unticked,No,No lead,-,-,No,No,-,No,-,No,-,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes - combined adult and paediatric policy,Yes,Yes,Yes,Yes,Yes,No,Yes,No,-,Continuous (every patient),No,No,No,No,No,No,No,No,Yes,Payment by results,No
FGH,Furness General,University Hospitals of Morecambe Bay NHS Foundation Trust,England,95,10,1-7,8,1,42,12,Yes,1,No,,0.1-1.0 WTE,1,6,15,1.1-3.0 WTE,3,30,75,No WTE,0,0,0,>3.0 WTE,6,60,150,No WTE,0,0,0,No WTE,0,0,0,>3.0 WTE,5,50,125,0.1-1.0 WTE,1,6,15,No WTE,0,0,0,0.1-1.0 WTE,1,10,25,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,0.1-1.0 WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,>3.0 WTE,4,0.1-1.0 WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Daily,Daily,Other,Ticked,Unticked,Unticked,Yes,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,No,No,-,No,-,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes - combined adult and paediatric policy,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Continuous (every patient),No,Yes,Yes,Yes,No,No,No,No,No,Payment by results,No
FRM,Frimley Park Hospital,Frimley Health NHS Foundation Trust,England,435,45,15,17,2,35,26,Yes,5,No,,>3.0 WTE,4,9,27,1.1-3.0 WTE,3,7,20,>3.0 WTE,4,9,27,>3.0 WTE,14,31,93,No WTE,0,0,0,0.1-1.0 WTE,1,2,7,>3.0 WTE,8,17,50,No WTE,0,0,0,No WTE,0,0,0,0.1-1.0 WTE,1,1,3,No WTE,0,0,0,0.1-1.0 WTE,1,2,7,No WTE,0,0,0,No WTE,0,0.1-1.0 WTE,1,1.1-3.0 WTE,2,No WTE,0,0.1-1.0 WTE,1,No WTE,0,1.1-3.0 WTE,3,0.1-1.0 WTE,1,0.1-1.0 WTE,1,No WTE,0,0.1-1.0 WTE,1,No WTE,0,No WTE,0,Twice daily,Twice daily,None,Unticked,Unticked,Ticked,No,Adult lead only,Yes,No,No,No,No,Yes,Both hospital and community-based teams,Yes,Both hospital and community-based teams,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,-,-,-,-,No,Neither a paediatric nor adult policy,No,Yes,No,Yes,Yes,No,Yes,No,-,Continuous (every patient),No,No,No,No,No,No,No,No,Yes,Payment via block contract,No
GEO,St George's Hospital,St George's University Hospitals NHS Foundation Trust,England,2335,440,70,41,8,30,57,Yes,6,Yes,8,1.1-3.0 WTE,3,1,4,>3.0 WTE,14,3,20,>3.0 WTE,10,2,14,>3.0 WTE,9,2,13,>3.0 WTE,4,1,6,No WTE,0,0,0,No WTE,0,0,0,>3.0 WTE,4,1,6,1.1-3.0 WTE,3,1,4,1.1-3.0 WTE,3,1,4,1.1-3.0 WTE,3,1,4,1.1-3.0 WTE,2,1,3,No WTE,0,0,0,No WTE,0,0.1-1.0 WTE,1,0.1-1.0 WTE,1,0.1-1.0 WTE,1,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Twice daily,Twice daily,All paediatric asthma patients,Ticked,Ticked,Unticked,Yes,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,Not applicable - we have specialist advice on site,Yes,Both hospital and community-based teams,No,-,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes - paediatric specific,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,1-2 times a year,No,No,Yes,Yes,Yes,No,No,Yes,No,Payment via block contract,No
GGH,"Diana, Princess of Wales Hospital",Northern Lincolnshire and Goole NHS Foundation Trust,England,230,20,1-7,14,1,17,16,Yes,2,No,,1.1-3.0 WTE,3,15,75,>3.0 WTE,4,20,100,>3.0 WTE,5,23,113,>3.0 WTE,9,44,222,No WTE,0,0,0,No WTE,0,0,0,>3.0 WTE,7,37,184,0.1-1.0 WTE,1,5,25,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,No WTE,0,1.1-3.0 WTE,2,0.1-1.0 WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Daily,Daily,All paediatric asthma patients,Unticked,Unticked,Ticked,Yes,Single lead for both adults and paediatrics,Yes,Yes - paediatric only,Yes,-,Not known,Yes,Community based team,Yes,Community based team,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes - paediatric specific,No,Yes,Yes,Yes,Yes,No,No,No,-,Never,No,No,No,No,No,No,No,No,Yes,Payment by results,No
GLH,Glangwili General Hospital,Hywel Dda University LHB,Wales,77,1-7,0,-,-,0,0,Yes,3,No,,1.1-3.0 WTE,2,50,,>3.0 WTE,11,275,,0.1-1.0 WTE,1,25,,>3.0 WTE,8,200,,No WTE,0,0,,1.1-3.0 WTE,2,50,,>3.0 WTE,10,250,,No WTE,0,0,,No WTE,0,0,,No WTE,0,0,,No WTE,0,0,,0.1-1.0 WTE,1,20,,No WTE,0,0,,1.1-3.0 WTE,2,>3.0 WTE,9,0.1-1.0 WTE,1,>3.0 WTE,7,No WTE,0,1.1-3.0 WTE,2,>3.0 WTE,6,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Daily,Daily,None,Unticked,Unticked,Unticked,Yes,Paediatric lead only,Yes,Yes - paediatric only,No,No,Not known,Yes,Single team that works across the community/secondary care interface,Not known,-,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,-,-,-,-,Yes,Not known,No,Yes,No,Yes,Yes,No,Yes,No,-,Never,Yes,Yes,Yes,Yes,No,No,No,No,No,Other,No
GWH,"Queen Elizabeth Hospital, Woolwich",Lewisham and Greenwich NHS Trust,England,220,25,1-7,10,1,18,22,No,,No,,>3.0 WTE,5,20,125,>3.0 WTE,14,56,350,>3.0 WTE,15,60,375,>3.0 WTE,13,52,325,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,0.1-1.0 WTE,1,4,25,No WTE,0,0,0,0.1-1.0 WTE,1,4,25,No WTE,0,0,0,No WTE,0,No WTE,0,0.1-1.0 WTE,1,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Daily,Daily,None,Unticked,Unticked,Ticked,Yes,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,Yes,No,-,No,-,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,-,-,-,-,Yes,Yes - paediatric specific,Yes,Yes,Yes,Yes,Yes,No,Yes,No,-,Less than once a year,No,No,No,No,No,No,No,No,Yes,Payment via block contract,No
GWY,Ysbyty Gwynedd Hospital,Betsi Cadwaladr University Health Board,Wales,-,-,-,-,-,-,19,Yes,1,No,-,0.1-1.0 WTE,1,-,-,No WTE,0,-,-,No WTE,0,-,-,>3.0 WTE,7.2,-,-,No WTE,0,-,-,>3.0 WTE,5.6,-,-,-,-,-,-,No WTE,0,-,-,No WTE,0,-,-,No WTE,0,-,-,0.1-1.0 WTE,1,-,-,0.1-1.0 WTE,1,-,-,No WTE,0,-,-,-,-,-,-,-,-,-,-,-,-,>3.0 WTE,4.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Daily,Daily,None,No,No,No,Yes,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,Yes,Yes,Community based team,Yes,Community based team,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes - paediatric specific,Yes,Yes,Yes,Yes,Yes,No,Not known,No,-,1-2 times a year,No,No,No,No,No,No,No,No,Yes,Other,No
HAR,Harrogate District Hospital,Harrogate and District NHS Foundation Trust,England,160,20,1-7,10,1,25,16,Yes,1,No,,1.1-3.0 WTE,3,15,75,>3.0 WTE,5,25,125,1.1-3.0 WTE,2,9,45,>3.0 WTE,7,33,167,0.1-1.0 WTE,1,4,21,0.1-1.0 WTE,1,5,25,>3.0 WTE,4,18,90,0.1-1.0 WTE,1,4,21,No WTE,0,0,0,>3.0 WTE,3,16,79,No WTE,0,0,0,0.1-1.0 WTE,0,2,8,No WTE,0,0,0,No WTE,0,No WTE,0,0.1-1.0 WTE,1,0.1-1.0 WTE,1,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Twice daily,Twice daily,All paediatric asthma patients,Unticked,Ticked,Unticked,Yes,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,Yes,Yes,Community based team,Yes,Community based team,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Neither a paediatric nor adult policy,Yes,Yes,Yes,Yes,Yes,No,Yes,No,-,Less than once a year,No,No,Yes,Yes,Yes,No,Yes,No,No,Other,No
HCH,County Hospital Hereford,Wye Valley NHS Trust,England,115,20,10,7,1,87,16,No,,No,,1.1-3.0 WTE,2,10,20,>3.0 WTE,8,40,80,0.1-1.0 WTE,1,5,10,>3.0 WTE,13,65,130,No WTE,0,0,0,No WTE,0,0,0,1.1-3.0 WTE,2,10,20,0.1-1.0 WTE,1,4,7,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,0.1-1.0 WTE,1,3,5,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Twice daily,Twice daily,Those under the care of a paediatric respiratory consultant,Unticked,Ticked,Unticked,Yes,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,Yes,No,-,No,-,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes - paediatric specific,Yes,Yes,No,Yes,Yes,No,Yes,No,-,Less than once a year,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Payment by results,No
HIL,Hillingdon Hospital,The Hillingdon Hospitals NHS Foundation Trust,England,285,35,1-7,10,1,14,28,Yes,2,No,,1.1-3.0 WTE,3,9,75,>3.0 WTE,15,43,375,>3.0 WTE,9,26,225,>3.0 WTE,19,54,475,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,1.1-3.0 WTE,3,9,75,>3.0 WTE,6,18,158,0.1-1.0 WTE,1,1,13,1.1-3.0 WTE,3,7,63,0.1-1.0 WTE,1,3,25,No WTE,0,0,0,No WTE,0,0.1-1.0 WTE,1,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Daily,Daily,All paediatric asthma patients,Unticked,Ticked,Ticked,Yes,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,Yes,Yes,Community based team,Yes,Community based team,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes - combined adult and paediatric policy,No,Yes,No,Yes,Yes,No,Yes,Yes,No,1-2 times a year,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Payment via block contract,No
HIN,Hinchingbrooke Hospital,North West Anglia NHS Foundation Trust,England,175,10,1-7,15,1,23,12,Yes,1,No,,1.1-3.0 WTE,3,30,75,>3.0 WTE,5,50,125,>3.0 WTE,6,60,150,>3.0 WTE,9,90,225,No WTE,0,0,0,No WTE,0,0,0,0.1-1.0 WTE,1,10,25,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,0.1-1.0 WTE,1,10,25,No WTE,0,0,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Daily,Daily,None,Unticked,Unticked,Ticked,Yes,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,Yes,No,-,No,-,No,Not known,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,-,-,-,-,Yes,Yes - paediatric specific,Yes,Yes,No,Yes,Yes,No,Yes,No,-,Continuous (every patient),No,No,No,No,No,No,No,No,Yes,Payment via block contract,No
HOM,Homerton Hospital,Homerton University Hospital NHS Foundation Trust,England,275,65,1-7,15,4,15,18,No,,No,,1.1-3.0 WTE,3,5,75,1.1-3.0 WTE,2,3,50,>3.0 WTE,6,9,150,>3.0 WTE,10,15,250,No WTE,0,0,0,No WTE,0,0,0,1.1-3.0 WTE,2,3,50,0.1-1.0 WTE,1,2,25,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,No WTE,0,0.1-1.0 WTE,1,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Daily,Daily,All paediatric asthma patients,Unticked,Unticked,Unticked,Yes,Paediatric lead only,Yes,No,Yes,-,No,Yes,Community based team,Yes,Community based team,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes - paediatric specific,No,Yes,No,Yes,Yes,No,No,No,-,More than 4 times a year,No,No,No,No,No,No,No,No,Yes,Payment by results,No
HRI,Hull Royal Infirmary,Hull University Teaching Hospitals NHS Trust,England,220,35,10,9,1,46,25,Yes,6,No,,>3.0 WTE,4,11,40,1.1-3.0 WTE,3,9,30,>3.0 WTE,9,26,90,>3.0 WTE,11,31,110,1.1-3.0 WTE,2,6,20,No WTE,0,0,0,No WTE,0,0,0,1.1-3.0 WTE,3,7,26,No WTE,0,0,0,0.1-1.0 WTE,1,3,10,No WTE,0,0,0,1.1-3.0 WTE,2,6,20,No WTE,0,0,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Twice daily,Twice daily,All paediatric asthma patients,Unticked,Ticked,Unticked,Yes,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,Not applicable - we have specialist advice on site,Yes,Community based team,Yes,Community based team,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes - paediatric specific,Yes,Yes,Yes,Yes,Yes,No,Yes,No,-,Less than once a year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Payment via block contract,Yes
IOW,"St Mary's Hospital, Newport",Isle of Wight NHS Trust,England,-,-,-,-,-,-,9,No,-,No,-,No WTE,0,-,-,1.1-3.0 WTE,2,-,-,>3.0 WTE,8,-,-,>3.0 WTE,6,-,-,No WTE,0,-,-,0.1-1.0 WTE,1,-,-,-,-,-,-,No WTE,0,-,-,0.1-1.0 WTE,1,-,-,No WTE,0,-,-,No WTE,0,-,-,0.1-1.0 WTE,1,-,-,No WTE,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Twice daily,Twice daily,None,No,Yes,No,Yes,No lead,-,-,No,No,-,Yes,Community based team,No,-,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes - paediatric specific,Yes,Yes,Yes,Yes,Yes,No,Yes,No,-,More than 4 times a year,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Payment via block contract,No
JPH,James Paget Hospital,James Paget University Hospitals NHS Foundation Trust,England,-,-,-,-,-,-,15,Yes,2,No,-,1.1-3.0 WTE,2,-,-,1.1-3.0 WTE,2,-,-,1.1-3.0 WTE,2,-,-,>3.0 WTE,8,-,-,0.1-1.0 WTE,1,-,-,0.1-1.0 WTE,1,-,-,1.1-3.0 WTE,3,-,-,No WTE,0,-,-,>3.0 WTE,4,-,-,No WTE,0,-,-,No WTE,0,-,-,No WTE,0,-,-,No WTE,0,-,-,No WTE,0,No WTE,0,1.1-3.0 WTE,2.5,0.1-1.0 WTE,1,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Daily,Daily,None,No,No,No,Not known,Paediatric lead only,Not known,No,No,Yes,Not applicable - we have specialist advice on site,No,-,Not known,-,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Not known,Yes,Yes,No,Yes,Yes,No,Yes,Not known,-,Continuous (every patient),Yes,Yes,Yes,Yes,No,No,No,No,No,Other,No
KCH,King's College Hospital,King's College Hospital NHS Foundation Trust,England,-,-,-,-,-,-,40,Yes,8,Yes,11,1.1-3.0 WTE,2,-,-,>3.0 WTE,8,-,-,>3.0 WTE,8,-,-,>3.0 WTE,14,-,-,>3.0 WTE,5,-,-,No WTE,0,-,-,No WTE,0,-,-,1.1-3.0 WTE,2,-,-,No WTE,0,-,-,No WTE,0,-,-,0.1-1.0 WTE,1,-,-,0.1-1.0 WTE,1,-,-,1.1-3.0 WTE,2,-,-,No WTE,0,0.1-1.0 WTE,1,1.1-3.0 WTE,2,0.1-1.0 WTE,1,0.1-1.0 WTE,1,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Twice daily,Daily,All paediatric asthma patients,Yes,Yes,Yes,Yes,Paediatric lead only,Yes,Yes - paediatric only,Yes,-,Not applicable - we have specialist advice on site,-,-,Yes,Hospital based team,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes - paediatric specific,Yes,Yes,Yes,Yes,Yes,No,Yes,No,-,3-4 times a year,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Other,No
KGG,King George Hospital,"Barking, Havering and Redbridge University Hospitals NHS Trust",England,105,20,1-7,9,2,38,12,No,,No,,No WTE,0,0,0,>3.0 WTE,5,25,125,0.1-1.0 WTE,1,5,25,>3.0 WTE,13,65,325,No WTE,0,0,0,>3.0 WTE,4,20,100,1.1-3.0 WTE,2,10,50,1.1-3.0 WTE,3,15,75,No WTE,0,0,0,No WTE,0,0,0,No WTE,0,0,0,0.1-1.0 WTE,1,5,25,No WTE,0,0,0,No WTE,0,0.1-1.0 WTE,1,1.1-3.0 WTE,2,1.1-3.0 WTE,2,No WTE,0,0.1-1.0 WTE,1,0.1-1.0 WTE,1,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,No WTE,0,Daily,Daily,All paediatric asthma patients,Unticked,Unticked,Ticked,Yes,Paediatric lead only,Yes,Yes - paediatric only,No,No,Yes,Not known,-,Yes,Community based team,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes - combined adult and paediatric policy,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1-2 times a year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Locally negotiated tariff,Yes
